Age_range,hac1,hac2,hac3,hac4,hac6,hac7,hac8,hac9,hac10,hac11,hac12,hac13,hac14
000to004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005to009,0.0,0.0,-2.4196,-3.857,-2.4555,-4.4104,0.0,0.0,0.0,1.8414,0.0,0.0,-3.0978
010to014,1.1852,0.0,-2.175,-2.9738,-2.0789,-4.4104,0.0,0.0,0.0,3.3635,0.0,0.0,-2.2541
015to019,-1.8436,0.0,-1.4384,-2.2442,0.0501,1.9845,0.0,0.0,2.4566,4.6257,4.5696,0.8882,-1.2961
020to024,-5.0529,0.0,-1.4732,-2.4544,0.355,2.1406,0.0,0.0,2.8153,4.7151,4.5696,0.8882,-0.2493
025to029,-5.9221,0.0,-1.7185,-2.6691,-0.1799,2.793,0.0,0.3803,2.2965,5.2485,4.5696,0.8882,-0.6563
030to034,-4.9057,0.0,-1.1521,-2.1459,-0.2904,3.6676,2.2623,1.1865,2.6856,6.1398,6.3486,0.8882,0.2371
035to039,-4.9057,0.0,-0.7238,-2.0369,0.2994,4.7205,2.2623,1.819,2.7021,7.163,7.029,1.2105,0.8469
040to044,-3.7906,3.7526,-0.1062,-1.0105,0.3418,5.2312,2.2623,2.1518,2.7239,7.9869,6.554,1.3108,1.8494
045to049,-3.2929,3.7526,0.2058,-0.6738,0.3699,4.9742,2.2623,2.4202,2.71,8.9443,6.9713,1.5775,2.8695
050to054,-3.0966,5.0326,0.8524,-0.3648,1.0732,5.6782,2.2623,2.8778,2.7893,9.858,7.4352,2.3732,4.0394
055to059,-2.1256,6.2646,1.3479,-0.1386,1.256,5.69,2.2623,3.2397,3.2146,10.9362,8.5462,2.9212,5.1386
060to064,-2.1256,6.9186,1.8529,-0.0072,1.5694,6.3115,2.2623,4.1352,3.5546,12.385,10.1846,3.3134,6.2989
065to069,-1.5551,7.9643,2.3186,0.1545,1.8933,7.0044,2.2623,4.6265,4.0172,13.9426,11.0445,3.4991,7.1911
070to074,-0.828,8.9778,2.8358,0.3227,2.4411,7.0016,2.2623,5.5338,4.3453,15.611,12.159,3.9568,7.939
075to079,0.5962,10.5728,3.481,0.4531,2.9649,7.3498,2.2623,6.5196,4.7643,17.3838,13.4465,4.6088,8.7299
080to084,1.6766,12.3139,4.3697,0.5259,3.7333,7.2276,2.2623,7.0401,5.1951,19.0686,14.5047,5.0133,9.3514
085to089,3.111,13.0551,5.4124,0.5384,4.529,7.2662,2.2623,8.0503,5.2425,20.5452,15.5896,6.168,10.2669
090to094,4.3978,14.0741,6.2395,0.3862,5.8655,7.2916,2.2623,8.5963,4.7828,21.6795,16.4738,6.7206,11.1879
095to099,4.3978,14.0741,6.2395,0.3862,5.8655,7.2916,2.2623,8.5963,4.7828,21.6795,16.4738,6.7206,11.1879
