Quantilecutoffpoints,hac1,hac2,hac3,hac4,hac6,hac7,hac8,hac9,hac10,hac11,hac12,hac13,hac14,hac15.2
Low,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moderate,67,54,73,68,76,63,68,61,64,72,55,64,72,55
High,74,60,80,73,82,70,71,68,69,78,63,71,77,55
