Grey,R,G,B
0,0,0,0
1,0,0,5
2,0,0,10
3,0,0,15
4,0,0,20
5,0,0,25
6,0,0,30
7,0,0,35
8,0,0,40
9,0,0,45
10,0,0,50
11,0,0,55
12,0,0,60
13,0,0,65
14,0,0,70
15,0,0,75
16,0,0,80
17,0,0,85
18,0,0,90
19,0,0,95
20,0,0,100
21,0,0,105
22,0,0,110
23,0,0,115
24,0,0,120
25,0,0,125
26,0,0,130
27,0,0,135
28,0,0,140
29,0,0,145
30,0,0,150
31,0,0,155
32,0,0,160
33,0,0,165
34,0,0,170
35,0,0,175
36,0,0,180
37,0,0,185
38,0,0,190
39,0,0,195
40,0,0,200
41,0,0,205
42,0,0,210
43,0,0,215
44,0,0,220
45,0,0,225
46,0,0,230
47,0,0,235
48,0,0,240
49,0,0,245
50,0,0,250
51,0,0,255
52,0,5,255
53,0,10,255
54,0,15,255
55,0,20,255
56,0,25,255
57,0,30,255
58,0,35,255
59,0,40,255
60,0,45,255
61,0,50,255
62,0,55,255
63,0,60,255
64,0,65,255
65,0,70,255
66,0,75,255
67,0,80,255
68,0,85,255
69,0,90,255
70,0,95,255
71,0,100,255
72,0,105,255
73,0,110,255
74,0,115,255
75,0,120,255
76,0,125,255
77,0,130,255
78,0,135,255
79,0,140,255
80,0,145,255
81,0,150,255
82,0,155,255
83,0,160,255
84,0,165,255
85,0,170,255
86,0,175,255
87,0,180,255
88,0,185,255
89,0,190,255
90,0,195,255
91,0,200,255
92,0,205,255
93,0,210,255
94,0,215,255
95,0,220,255
96,0,225,255
97,0,230,255
98,0,235,255
99,0,240,255
100,0,245,255
101,0,250,255
102,0,255,255
103,0,255,250
104,0,255,245
105,0,255,240
106,0,255,235
107,0,255,230
108,0,255,225
109,0,255,220
110,0,255,215
111,0,255,210
112,0,255,205
113,0,255,200
114,0,255,195
115,0,255,190
116,0,255,185
117,0,255,180
118,0,255,175
119,0,255,170
120,0,255,165
121,0,255,160
122,0,255,155
123,0,255,150
124,0,255,145
125,0,255,140
126,0,255,135
127,0,255,130
128,0,255,125
129,0,255,120
130,0,255,115
131,0,255,110
132,0,255,105
133,0,255,100
134,0,255,95
135,0,255,90
136,0,255,85
137,0,255,80
138,0,255,75
139,0,255,70
140,0,255,65
141,0,255,60
142,0,255,55
143,0,255,50
144,0,255,45
145,0,255,40
146,0,255,35
147,0,255,30
148,0,255,25
149,0,255,20
150,0,255,15
151,0,255,10
152,0,255,5
153,0,255,0
154,5,255,0
155,10,255,0
156,15,255,0
157,20,255,0
158,25,255,0
159,30,255,0
160,35,255,0
161,40,255,0
162,45,255,0
163,50,255,0
164,55,255,0
165,60,255,0
166,65,255,0
167,70,255,0
168,75,255,0
169,80,255,0
170,85,255,0
171,90,255,0
172,95,255,0
173,100,255,0
174,105,255,0
175,110,255,0
176,115,255,0
177,120,255,0
178,125,255,0
179,130,255,0
180,135,255,0
181,140,255,0
182,145,255,0
183,150,255,0
184,155,255,0
185,160,255,0
186,165,255,0
187,170,255,0
188,175,255,0
189,180,255,0
190,185,255,0
191,190,255,0
192,195,255,0
193,200,255,0
194,205,255,0
195,210,255,0
196,215,255,0
197,220,255,0
198,225,255,0
199,230,255,0
200,235,255,0
201,240,255,0
202,245,255,0
203,250,255,0
204,255,255,0
205,255,250,0
206,255,245,0
207,255,240,0
208,255,235,0
209,255,230,0
210,255,225,0
211,255,220,0
212,255,215,0
213,255,210,0
214,255,205,0
215,255,200,0
216,255,195,0
217,255,190,0
218,255,185,0
219,255,180,0
220,255,175,0
221,255,170,0
222,255,165,0
223,255,160,0
224,255,155,0
225,255,150,0
226,255,145,0
227,255,140,0
228,255,135,0
229,255,130,0
230,255,125,0
231,255,120,0
232,255,115,0
233,255,110,0
234,255,105,0
235,255,100,0
236,255,95,0
237,255,90,0
238,255,85,0
239,255,80,0
240,255,75,0
241,255,70,0
242,255,65,0
243,255,60,0
244,255,55,0
245,255,50,0
246,255,45,0
247,255,40,0
248,255,35,0
249,255,30,0
250,255,25,0
251,255,20,0
252,255,15,0
253,255,10,0
254,255,5,0
255,255,0,0
