tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	description	dip	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	result_type	sample	site	timestamp
277.4		0	0.0	This study		-54	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01A	GH01	2015-09-06T09:40:00Z
278.8		0	0.0	This study		-55	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01B	GH01	2015-09-06T09:51:00Z
277.6		0	0.0	This study		-44	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01C	GH01	2015-09-06T09:59:00Z
276.8		0	0.0	This study		-63	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01D	GH01	2015-09-06T10:08:00Z
248.5		0	0.0	This study		-49	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01F	GH01	2015-09-06T10:26:00Z
245.2		0	0.0	This study		-50	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01G	GH01	2015-09-06T10:32:00Z
256.4		0	0.0	This study		-34	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01H	GH01	2015-09-06T10:36:00Z
237.5		0	0.0	This study		-51	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01I	GH01	2015-09-06T10:43:00Z
218.1		0	0.0	This study		-44	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01J	GH01	2015-09-06T10:48:00Z
230.4		0	0.0	This study		-39	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01K	GH01	2015-09-06T10:52:00Z
234.2		0	0.0	This study		-47	Extrusive	Lava Flow	33.0678	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH01M	GH01	2015-09-06T11:03:00Z
232.7		0	0.0	This study		-44	Extrusive	Lava Flow	33.06746	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH02A	GH02	2015-09-06T10:50:00Z
246.1		0	0.0	This study		-31	Extrusive	Lava Flow	33.06746	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH02C	GH02	2015-09-06T10:57:00Z
253.1		0	0.0	This study		-32	Extrusive	Lava Flow	33.06746	Basaltic Lava	35.74018	FS-FD:FS-LOC-GPS:SO-MAG:SO-POM:SO-SUN	g	g	i	GH02D	GH02	2015-09-06T11:00:00Z
