Adjustments,hac1,hac2,hac3,hac4,hac6,hac7,hac8,hac9,hac10,hac11,hac12,hac13,hac14,hac15.2
Low,11.0,3.8,8.1,13.1,13.6,10.3,19.5,8.6,8.5,8.7,3.5,7.5,10.7,31.9
Moderate,3.1,2.6,2.9,9.6,8.7,7.7,7.2,7.4,6.2,7.0,3.0,6.0,8.1,21.2
High,1.7,0.8,1.4,7.0,5.3,5.9,3.2,5.8,2.7,5.0,2.1,4.8,5.7,21.2
