SA2_MAINCODE_2016,Remoteness_Category_RA16
199999499,9
109011172,1
109011176,1
109011173,1
109011174,1
109011175,1
110011186,1
110011187,2
110011186,2
110011188,2
108021156,2
120031393,0
120031391,0
120031390,0
120031395,0
103041079,1
125011473,0
125011586,0
125011583,0
125011585,0
125011587,0
125011584,0
125011582,0
125011475,0
112011236,1
112011237,1
112011242,1
112021249,1
109021179,2
109021179,3
121021578,0
119011572,0
119011571,0
119021366,0
119011357,0
119011361,0
119011355,0
108041162,1
119011356,0
119011354,0
125031479,0
119011359,0
119011360,0
119011358,0
103011058,1
103011059,1
103011060,1
103011060,2
103031071,1
103031074,2
115011291,0
116011307,0
115011290,0
115011553,0
115011555,0
115011556,0
115011557,0
115011559,0
115011296,0
125041494,0
115011294,0
115041302,0
115021297,0
115021297,1
115041301,1
125041490,0
125021478,0
125021476,0
125041491,0
125041489,0
101041020,2
101041027,2
101041022,2
101041019,2
101041025,2
101041023,2
101031015,2
101031013,2
104021083,2
104021090,2
104021087,2
108021159,2
109031185,1
109031185,2
116031314,0
116021312,0
116011304,0
116021563,0
116011303,0
116021309,0
116021562,0
116021310,0
107041144,0
107041145,0
107041548,0
107041146,0
107041549,0
107011133,0
116011306,0
116011561,0
116011560,0
116011308,0
116031318,0
116031316,0
116031317,0
116031313,0
116031319,0
116031315,0
103021069,3
103021069,2
113011257,2
103041076,1
103041076,2
124011449,1
124011452,0
124011451,1
124011455,0
124011453,0
124011454,0
124011450,0
124011452,1
103031075,2
115031299,1
124021456,1
105011095,3
105011092,4
105011093,4
101061544,1
101061544,2
101061542,1
117011325,0
117011322,0
117011321,0
117011323,0
117011320,0
105011092,3
105011096,4
105021097,2
120031575,0
112011243,1
112011238,1
112011239,1
112011240,1
103041079,2
103041078,1
103021065,2
105031106,2
103021064,1
105031103,2
103021064,2
103021068,2
123011433,0
123011434,0
123011435,0
127011506,0
123021438,0
123021443,0
123021440,0
123021442,0
123021441,0
123021437,0
123021436,0
123021444,0
123021439,0
107041147,1
120011384,0
120011383,0
120011386,0
120011385,0
119031373,0
119021367,0
119021362,0
119021364,0
120031392,0
119021363,0
119031370,0
119021574,0
119021573,0
113011257,3
109021177,3
112021244,1
112021245,1
112011241,1
112021245,2
105021098,4
106011111,0
106011111,1
106011108,1
106011109,1
106011107,1
106011108,0
106011109,0
106021117,1
104011082,2
104011081,2
104021091,2
104011081,1
104011082,1
104011080,1
105011093,3
104021089,1
104021084,1
104021085,1
104021088,1
104021086,1
104021091,1
104021086,2
109031183,2
113031266,2
113031271,2
113031271,1
101021011,1
101031015,1
101031014,1
105011094,3
105011094,2
105011096,3
113031263,1
113031263,2
113031264,2
109031181,1
109031180,1
109031181,2
103021063,1
109031182,1
105031102,1
105031101,1
105031100,1
105031103,1
106011110,2
106011110,1
101041026,1
101041021,1
101041018,1
101041024,1
101041026,2
101041024,2
101041017,1
127021512,0
127021513,0
127021516,0
127021511,0
127021519,0
127021515,0
125031480,0
125031482,0
125031486,0
127021510,0
127021509,0
127021514,0
127021517,0
127021520,0
127021521,0
127021518,0
103021062,2
105031104,2
110021190,2
108051167,1
108051167,2
108051170,1
102011038,0
102011029,0
102011031,0
102011034,0
102011028,0
102011039,0
102011041,0
102011043,0
102011032,0
102011036,0
102011033,0
102011040,0
102011037,0
102011042,0
102011035,0
102011030,1
102011030,0
101051539,1
101051540,1
101021007,1
101021007,2
101051540,2
108051171,1
108051169,1
108051168,1
108051170,2
108011153,1
109011175,2
113021260,2
108011151,1
106031124,1
106031124,2
108011154,1
108011152,1
108011151,2
106031125,1
113011256,2
113031264,1
110041199,2
110041200,2
110031198,2
110021192,2
110021193,2
110031196,2
110041205,2
101061542,2
101061543,1
108041164,1
108041163,1
108041165,1
108041165,2
108041166,1
115031300,1
115041301,0
115031300,0
124041467,0
124041468,0
115031299,2
124041466,0
109021177,2
125031484,0
125031485,0
125041588,0
125041589,0
125041492,0
125031487,0
125031481,0
115011554,0
115011558,0
115021298,1
121021403,0
121021404,0
121021404,1
115021298,0
121021577,0
126011496,0
126011495,0
121021406,0
121021579,0
126021497,0
126021498,0
126021499,0
119031372,0
119031368,0
119031369,0
119041377,0
119031371,0
110021191,2
113031265,1
113031265,2
108021155,1
108021160,2
108021156,1
107031140,1
107031139,1
107031138,1
114011272,1
114021288,1
119041382,0
119031374,0
119041379,0
119041378,0
121031411,0
121031412,0
121031409,0
121031407,0
121031408,0
121031410,0
112021247,1
112021247,2
103021062,3
111011213,0
111011212,0
111011206,0
111011207,0
111011210,0
111011208,0
111011211,0
111011212,1
111011214,0
111021221,0
111011209,0
111021217,0
111031226,0
111031233,0
111021215,0
111031222,0
111021218,0
111021216,0
111021219,0
111021220,0
111021218,1
121011400,0
121011399,0
121011401,0
113011259,2
113011258,2
120021388,0
120021389,0
120021387,0
112021248,1
112021246,1
103031070,1
103031073,2
103031071,2
127011504,0
127031522,0
127031599,0
127031598,0
127031523,0
127031601,0
127031524,0
127031600,0
127011597,0
127011593,0
127011596,0
127011595,0
127011594,0
127011505,0
127011592,1
124031463,1
127011505,1
124031463,0
110041201,2
110041201,1
106041129,2
106021114,0
106021116,1
106021115,0
111031223,0
106021117,0
106021118,0
106021116,0
122011418,0
122011419,0
120031394,0
117021326,0
117021327,0
117021328,0
117031332,0
103031072,1
103031073,1
110031196,3
110031195,2
121041415,0
121041413,0
109031184,1
106041127,1
106041126,1
106041127,2
108021158,2
108021157,2
110031198,3
110031197,2
105031105,2
111031228,0
111031227,0
111031235,0
111031230,0
111031232,0
111031229,0
111031224,0
111031231,0
111031225,0
111031234,0
121041414,0
121041416,0
121041417,0
121011402,0
103011061,2
103011061,1
103041077,1
103021067,2
125021477,0
125041493,0
125031483,0
124031462,0
124031457,0
124051470,0
124051581,0
124051580,0
124051469,0
124031458,0
124031459,0
124031460,0
124031461,0
124031464,0
122021423,0
122021421,0
122021422,0
122021420,0
122021421,1
122031432,0
106031122,0
106031120,1
106031121,1
106031119,1
106031125,0
106031123,1
106031123,0
106031122,1
101021012,0
101021009,0
101021008,0
101021010,0
101021011,0
118021564,0
