tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	Fit 1	0.7	157.0	-56.2	0.8	1	7	0	GH03B1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH03B	pmagpy-3.16.0: demag_gui	GH03B1
This study	Fit 1	1	152.0	-55.9	0.9	1	6	0	GH03C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH03C	pmagpy-3.16.0: demag_gui	GH03C1
This study	Fit 1	1.7	146.0	-60.2	1.3	1	4	0	GH03C2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	813	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH03C	pmagpy-3.16.0: demag_gui	GH03C2
This study	Fit 1	0.2	161.6	-56.2	0.6	1	6	0	GH03D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH03D	pmagpy-3.16.0: demag_gui	GH03D1
This study	Fit 1	0.4	162.9	-54.3	0.3	1	6	0	GH03E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH03E	pmagpy-3.16.0: demag_gui	GH03E1
This study	Fit 1	0.8	163.6	-58.1	0.9	1	6	0	GH03E2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	753	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH03E	pmagpy-3.16.0: demag_gui	GH03E2
This study	Fit 1	0.4	152.8	-57.5	0.7	1	6	0	GH03G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH03G	pmagpy-3.16.0: demag_gui	GH03G1
This study	Fit 1	0.6	154.6	-56.8	1.1	1	6	0	GH03H1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH03H	pmagpy-3.16.0: demag_gui	GH03H1
This study	Fit 1	0.1	171.8	-58.5	0.4	1	14	0	GH04A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.035	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04A	pmagpy-3.16.0: demag_gui	GH04A1
This study	Fit 1	0.3	171.1	-59.1	0.3	1	7	0	GH04B1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04B	pmagpy-3.16.0: demag_gui	GH04B1
This study	Fit 1	0.4	181.0	-57.9	0.4	1	7	0	GH04C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04C	pmagpy-3.16.0: demag_gui	GH04C1
This study	Fit 1	0.9	177.0	-58.4	0.7	1	10	0	GH04D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04D	pmagpy-3.16.0: demag_gui	GH04D1
This study	Fit 1	0.1	173.8	-52.8	0.4	1	8	0	GH04E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04E	pmagpy-3.16.0: demag_gui	GH04E1
This study	Fit 1	0.3	178.4	-53.4	0.9	1	6	0	GH04E2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	753	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH04E	pmagpy-3.16.0: demag_gui	GH04E2
This study	Fit 1	0.5	172.2	-56.9	0.4	1	8	0	GH04F1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04F	pmagpy-3.16.0: demag_gui	GH04F1
This study	Fit 1	0.1	174.5	-62.9	0.6	1	8	0	GH04G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04G	pmagpy-3.16.0: demag_gui	GH04G1
This study	Fit 1	0.8	175.6	-60.6	0.8	1	6	0	GH04G2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	753	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH04G	pmagpy-3.16.0: demag_gui	GH04G2
This study	Fit 1	0.3	175.6	-59.5	0.8	1	8	0	GH04H1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH04H	pmagpy-3.16.0: demag_gui	GH04H1
This study	Fit 1	0.2	191.6	-57.5	0.4	1	8	0	GH05A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH05A	pmagpy-3.16.0: demag_gui	GH05A1
This study	Fit 1	0.4	187.9	-54.2	0.5	1	17	0	GH05B1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH05B	pmagpy-3.16.0: demag_gui	GH05B1
This study	Fit 1	0.3	182.4	-51.8	0.5	1	8	0	GH05D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH05D	pmagpy-3.16.0: demag_gui	GH05D1
This study									GH05E1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH05E		GH05E1
This study									GH05E2	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH05E		GH05E2
This study									GH05F1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH05F		GH05F1
This study	Fit 1	0.3	172.0	-61.6	0.3	1	8	0	GH05G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH05G	pmagpy-3.16.0: demag_gui	GH05G1
This study	Fit 1	0.5	174.6	-56.1	0.6	1	8	0	GH05H1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH05H	pmagpy-3.16.0: demag_gui	GH05H1
This study	Fit 1	0.8	178.6	-54.8	1.4	1	7	0	GH05H2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	713	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH05H	pmagpy-3.16.0: demag_gui	GH05H2
This study	Fit 1	0.1	182.2	-58.7	0.7	1	9	0	GH05I1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH05I	pmagpy-3.16.0: demag_gui	GH05I1
This study	Fit 1	0.2	181.8	-60.1	0.2	1	5	0	GH05I2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	783	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH05I	pmagpy-3.16.0: demag_gui	GH05I2
This study	Fit 1	0.2	183.2	-53.1	0.6	1	8	0	GH05K1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH05K	pmagpy-3.16.0: demag_gui	GH05K1
This study	Fit 1	0.2	173.8	-58.6	1	1	8	0	GH05L1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH05L	pmagpy-3.16.0: demag_gui	GH05L1
This study	Fit 1	0.4	9.9	47.5	1.4	1	12	0	GH06A2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.045	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH06A	pmagpy-3.16.0: demag_gui	GH06A2
This study	Fit 1	0.9	5.5	48.2	1.2	1	8	0	GH06C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH06C	pmagpy-3.16.0: demag_gui	GH06C1
This study	Fit 1	2.1	8.4	49.7	2.2	1	7	0	GH06D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	713	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH06D	pmagpy-3.16.0: demag_gui	GH06D1
This study	Fit 1	0.7	6.3	46.4	1.1	1	8	0	GH06D2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH06D	pmagpy-3.16.0: demag_gui	GH06D2
This study	Fit 1	0.7	2.5	50.3	1.1	1	8	0	GH06E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH06E	pmagpy-3.16.0: demag_gui	GH06E1
This study	Fit 1	4.3	358.2	53.8	2.6	1	7	0	GH06E2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	713	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH06E	pmagpy-3.16.0: demag_gui	GH06E2
This study	Fit 1	1.4	0.8	50.9	1.3	1	6	0	GH06F2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.05	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH06F	pmagpy-3.16.0: demag_gui	GH06F2
This study	Fit 1	0.4	8.2	51.8	0.6	1	8	0	GH06G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH06G	pmagpy-3.16.0: demag_gui	GH06G1
This study	Fit 1	0.7	10.8	50.8	0.6	1	8	0	GH06H2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH06H	pmagpy-3.16.0: demag_gui	GH06H2
This study	Fit 1	0.2	4.5	59.4	0.6	1	16	0	GH07A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.025	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07A	pmagpy-3.16.0: demag_gui	GH07A1
This study	Fit 1	0.4	8.1	57.4	1.3	1	8	0	GH07B1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07B	pmagpy-3.16.0: demag_gui	GH07B1
This study									GH07C1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH07C		GH07C1
This study									GH07C2	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH07C		GH07C2
This study	Fit 1	1.1	11.8	56.6	0.6	1	8	0	GH07D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07D	pmagpy-3.16.0: demag_gui	GH07D1
This study	Fit 1	0.5	8.1	54.6	0.5	1	8	0	GH07E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07E	pmagpy-3.16.0: demag_gui	GH07E1
This study	Fit 1	0.3	359.6	60.5	0.4	1	5	0	GH07F1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	783	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH07F	pmagpy-3.16.0: demag_gui	GH07F1
This study	Fit 1	0.3	7.6	54.3	0.4	1	8	0	GH07F2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07F	pmagpy-3.16.0: demag_gui	GH07F2
This study	Fit 1	1.6	2.2	48.5	1.2	1	8	0	GH07G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07G	pmagpy-3.16.0: demag_gui	GH07G1
This study	Fit 1	0.7	4.3	60.4	0.8	1	7	0	GH07I1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.035	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07I	pmagpy-3.16.0: demag_gui	GH07I1
This study	Fit 1	0.7	1.4	50.2	0.5	1	9	0	GH07J1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH07J	pmagpy-3.16.0: demag_gui	GH07J1
This study	Fit 1	0.5	13.1	56.8	1	1	17	0	GH08A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH08A	pmagpy-3.16.0: demag_gui	GH08A1
This study	Fit 1	1.9	3.9	59.5	4.8	1	13	0	GH08B2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	373	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH08B	pmagpy-3.16.0: demag_gui	GH08B2
This study	Fit 1	1	7.5	61.8	3	1	13	0	GH08C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	373	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH08C	pmagpy-3.16.0: demag_gui	GH08C1
This study	Fit 1	1	5.9	58.5	0.8	1	9	0	GH08C2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH08C	pmagpy-3.16.0: demag_gui	GH08C2
This study	Fit 1	1.3	14.5	57.3	0.7	1	8	0	GH08E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH08E	pmagpy-3.16.0: demag_gui	GH08E1
This study	Fit 1	1.1	14.3	55.8	0.8	1	8	0	GH08F2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH08F	pmagpy-3.16.0: demag_gui	GH08F2
This study	Fit 1	0.8	14.7	62.4	0.3	1	8	0	GH08G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.11	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH08G	pmagpy-3.16.0: demag_gui	GH08G1
This study	Fit 1	2.2	18.2	59	0.6	1	8	0	GH08H1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.11	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH08H	pmagpy-3.16.0: demag_gui	GH08H1
This study	Fit 1	4.3	87.8	18.2	3.5	1	17	0	GH09A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH09A	pmagpy-3.16.0: demag_gui	GH09A1
This study	Fit 1	3.1	94.3	18.3	2.8	1	8	0	GH09B1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.11	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH09B	pmagpy-3.16.0: demag_gui	GH09B1
This study	Fit 1	3.2	86.2	24.6	4.9	1	8	0	GH09C2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.11	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH09C	pmagpy-3.16.0: demag_gui	GH09C2
This study	Fit 1	2.3	87.1	24.9	3	1	8	0	GH09D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.11	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH09D	pmagpy-3.16.0: demag_gui	GH09D1
This study									GH09E1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH09E		GH09E1
This study	Fit 1	1.2	76.1	39.8	3.6	1	6	0	GH09G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH09G	pmagpy-3.16.0: demag_gui	GH09G1
This study	Fit 1	1	74.4	40	3.2	1	6	0	GH09G2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH09G	pmagpy-3.16.0: demag_gui	GH09G2
This study	Fit 1	0.3	176.1	-53.7	0.7	1	15	0	GH10A2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH10A	pmagpy-3.16.0: demag_gui	GH10A2
This study	Fit 1	0.7	178.5	-53.9	0.9	1	7	0	GH10B2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	713	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH10B	pmagpy-3.16.0: demag_gui	GH10B2
This study	Fit 1	0.5	180.7	-57	0.9	1	7	0	GH10C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.035	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH10C	pmagpy-3.16.0: demag_gui	GH10C1
This study	Fit 1	0.1	180.2	-55.1	0.8	1	5	0	GH10D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.11	0.05	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH10D	pmagpy-3.16.0: demag_gui	GH10D1
This study	Fit 1	0.4	172.6	-60.2	0.7	1	5	0	GH10E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH10E	pmagpy-3.16.0: demag_gui	GH10E1
This study	Fit 1	0.1	173.4	-60.3	0.9	1	8	0	GH10E2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH10E	pmagpy-3.16.0: demag_gui	GH10E2
This study	Fit 1	0.1	175.3	-58.5	0.6	1	5	0	GH10F1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH10F	pmagpy-3.16.0: demag_gui	GH10F1
This study	Fit 1	0.5	168.3	-55.1	0.9	1	5	0	GH10G2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH10G	pmagpy-3.16.0: demag_gui	GH10G2
This study	Fit 1	0.5	222.8	-52.2	1.2	1	10	0	GH11B1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH11B	pmagpy-3.16.0: demag_gui	GH11B1
This study	Fit 1	1.4	213.1	-48.5	1.9	1	10	0	GH11C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH11C	pmagpy-3.16.0: demag_gui	GH11C1
This study	Fit 1	2.9	217.2	-48.8	1.7	1	18	0	GH11D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.015	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH11D	pmagpy-3.16.0: demag_gui	GH11D1
This study	Fit 1	0.9	217.0	-50.7	0.6	1	7	0	GH11D2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	713	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH11D	pmagpy-3.16.0: demag_gui	GH11D2
This study	Fit 1	0.8	214.4	-47.7	0.9	1	11	0	GH11E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH11E	pmagpy-3.16.0: demag_gui	GH11E1
This study	Fit 1	1.6	211.8	-49.9	0.7	1	6	0	GH11F1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH11F	pmagpy-3.16.0: demag_gui	GH11F1
This study	Fit 1	1	211.7	-50.9	0.8	1	6	0	GH11G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH11G	pmagpy-3.16.0: demag_gui	GH11G1
This study	Fit 1	0.8	208.1	-45.4	1.4	1	10	0	GH11H1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH11H	pmagpy-3.16.0: demag_gui	GH11H1
This study	Fit 1	0.4	5.5	51.1	1.7	1	10	0	GH12A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH12A	pmagpy-3.16.0: demag_gui	GH12A1
This study	Fit 1	0.9	2.4	53.6	0.3	1	9	0	GH12C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH12C	pmagpy-3.16.0: demag_gui	GH12C1
