tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	Fit 1	3.5	352.3	32.6	1.1	1	19	0	GH01A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH01A	pmagpy-3.16.0: demag_gui	GH01A1
This study	Fit 1	4.6	358.2	39.4	1	1	9	0	GH01B1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.1	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH01B	pmagpy-3.16.0: demag_gui	GH01B1
This study	Fit 1	2.7	349.5	45	2.2	1	11	0	GH01B2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	523	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH01B	pmagpy-3.16.0: demag_gui	GH01B2
This study	Fit 1	4.7	350.1	37.9	1.2	1	5	0	GH01C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.05	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH01C	pmagpy-3.16.0: demag_gui	GH01C1
This study									GH01C2	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01C		GH01C2
This study	Fit 1	3.6	347.7	31.1	1.5	1	6	0	GH01D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.06	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH01D	pmagpy-3.16.0: demag_gui	GH01D1
This study									GH01F1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01F		GH01F1
This study									GH01G1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01G		GH01G1
This study	Fit 1	4.5	340.4	36.6	2	1	5	0	GH01H1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.05	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH01H	pmagpy-3.16.0: demag_gui	GH01H1
This study									GH01H2	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01H		GH01H2
This study									GH01I1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01I		GH01I1
This study									GH01J1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01J		GH01J1
This study									GH01J2	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01J		GH01J2
This study									GH01K1	Extrusive	Lava Flow			Basaltic Lava				LP-DIR	g	GH01K		GH01K1
This study	Fit 1	2	352.1	36.9	0.8	1	9	0	GH01M1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.09	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH01M	pmagpy-3.16.0: demag_gui	GH01M1
This study	Fit 1	1.3	348.9	38	0.7	1	18	0	GH02A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.015	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH02A	pmagpy-3.16.0: demag_gui	GH02A1
This study	Fit 1	0.3	352.8	37.6	0.9	1	10	0	GH02C1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.09	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH02C	pmagpy-3.16.0: demag_gui	GH02C1
This study	Fit 1	0.7	352.2	40.9	1	1	9	0	GH02D1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.09	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH02D	pmagpy-3.16.0: demag_gui	GH02D1
This study	Fit 1	1.1	349.7	40.3	1	1	9	0	GH02E1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.09	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH02E	pmagpy-3.16.0: demag_gui	GH02E1
This study	Fit 1	0.1	346.5	38.5	2	1	12	0	GH02E2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH02E	pmagpy-3.16.0: demag_gui	GH02E2
This study	Fit 1	1.6	346.9	33.6	1.8	1	8	0	GH02F1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.09	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH02F	pmagpy-3.16.0: demag_gui	GH02F1
This study	Fit 1	1.5	349.4	34.8	1.6	1	8	0	GH02G1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.09	0.02	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH02G	pmagpy-3.16.0: demag_gui	GH02G1
This study	Fit 1	0.2	351.1	33.7	1	1	7	0	GH02G2	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	873	713	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GH02G	pmagpy-3.16.0: demag_gui	GH02G2
This study	Fit 1	1	161.4	-56	0.9	1	13	0	GH03A1	Extrusive	Lava Flow	HUJI-2G	u	Basaltic Lava	0.12	0.04	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	GH03A	pmagpy-3.16.0: demag_gui	GH03A1
