tab 	ages
age	age_high	age_low	age_unit	citations	location	method_codes	site
0.6798	0.6798	0.6798	Ma	This study	Golan-Heights	GM-ARAR	GH01
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH02
1.1115	1.1115	1.1115	Ma	This study	Golan-Heights	GM-ARAR	GH03
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH04
1.1196	1.1196	1.1196	Ma	This study	Golan-Heights	GM-ARAR	GH05
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH06
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH07
0.1039	0.1039	0.1039	Ma	This study	Golan-Heights	GM-ARAR	GH08
0.1044	0.1044	0.1044	Ma	This study	Golan-Heights	GM-ARAR	GH09
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH10
1.5848	1.5848	1.5848	Ma	This study	Golan-Heights	GM-ARAR	GH11
0.7094	0.7094	0.7094	Ma	This study	Golan-Heights	GM-ARAR	GH12
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH13
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH14
0.8415	0.8415	0.8415	Ma	This study	Golan-Heights	GM-ARAR	GH15
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH16
0.1053	0.1053	0.1053	Ma	This study	Golan-Heights	GM-ARAR	GH17
0.8912	0.8912	0.8912	Ma	This study	Golan-Heights	GM-ARAR	GH18
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH19
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH20
1.35	5.53	3.86	Ma	This study	Golan-Heights	GM-CC	GH21
1.4132	1.4132	1.4132	Ma	This study	Golan-Heights	GM-ARAR	GH22
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH23
0.6155	0.6155	0.6155	Ma	This study	Golan-Heights	GM-ARAR	GH24
0.1115	0.1115	0.1115	Ma	This study	Golan-Heights	GM-ARAR	GH25
1.35	2.6	0.1	Ma	This study	Golan-Heights	GM-CC	GH26
2.6518	2.6518	2.6518	Ma	This study	Golan-Heights	GM-ARAR	GH27
