tag         PID         vmId        seqNo       contextId   timestamp   gpuId     
----------  ----------  ----------  ----------  ----------  ----------  ----------
BEGIN       23371       0           0           1048578     56759171    0         
BEGIN       23371       0           1           1048578     56927765    0         
BEGIN       23371       0           3           1048578     63799379    0         
END         23371       0           4           1048578     63918806    0         
BEGIN       19397       0           5           1048577     64014692    0         
BEGIN       19397       0           6           1048577     64250369    0         
BEGIN       19397       0           8           1048577     1918310004  0         
END         19397       0           9           1048577     1918521098  0         
BEGIN       19397       0           10          1048577     2024164744  0         
BEGIN       19397       0           11          1048577     2024358650  0         
