         65874 function calls (61869 primitive calls) in 0.143 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.176    0.176 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pyqode/core/widgets/code_edits.py:107(__init__)
        1    0.045    0.045    0.095    0.095 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pyqode/core/api/code_edit.py:431(__init__)
        1    0.000    0.000    0.046    0.046 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pyqode/core/modes/pygments_sh.py:161(__init__)
        1    0.000    0.000    0.043    0.043 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pygments/lexer.py:571(__call__)
        1    0.000    0.000    0.042    0.042 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pygments/lexer.py:514(process_tokendef)
    39/19    0.000    0.000    0.042    0.002 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pygments/lexer.py:470(_process_state)
       66    0.000    0.000    0.042    0.001 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pygments/lexer.py:423(_process_regex)
       69    0.000    0.000    0.032    0.000 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/re.py:232(compile)
       69    0.001    0.000    0.032    0.000 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/re.py:271(_compile)
        1    0.000    0.000    0.031    0.031 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pyqode/core/api/code_edit.py:1301(_init_settings)
       58    0.000    0.000    0.030    0.001 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/sre_compile.py:759(compile)
       58    0.000    0.000    0.020    0.000 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/sre_parse.py:919(parse)
   258/58    0.002    0.000    0.019    0.000 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/sre_parse.py:417(_parse_sub)
   534/66    0.006    0.000    0.019    0.000 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/sre_parse.py:475(_parse)
       15    0.012    0.001    0.015    0.001 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pyqode/core/icons.py:29(icon)
        1    0.001    0.001    0.013    0.013 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pyqode/core/api/code_edit.py:1192(_init_actions)
        5    0.000    0.000    0.010    0.002 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pygments/lexer.py:413(get)
        5    0.000    0.000    0.010    0.002 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pygments/regexopt.py:83(regex_opt)
    617/5    0.002    0.000    0.010    0.002 /home/sebastiaan/anaconda3/envs/opensesame-py3/lib/python3.7/site-packages/pygments/regexopt.py:27(regex_opt_inner)
